=== Scheduler Starvation Test ===
# Logical CPUs: 32
# CLK_TCK: 100

# Starting high-priority load (nice -10)

# Starting victim group (nice 19)
Running in process mode with 64 groups using 8 file descriptors each (== 512 tasks)
Each sender will pass 120000 messages of 512 bytes
Running in process mode with 2 groups using 8 file descriptors each (== 16 tasks)
Each sender will pass 120000 messages of 512 bytes
# High-priority PIDs: 512
# Victim PIDs: 16
# Total PIDs being logged: 528
timestamp,starttime,pid,nice,utime,stime
Start logging...
1747649320.093779030,121016,7786,-10,1,48
1747649320.093779030,121016,7787,-10,1,49
1747649320.093779030,121016,7788,-10,2,48
1747649320.093779030,121016,7789,-10,2,49
1747649320.093779030,121016,7790,-10,4,47
1747649320.093779030,121016,7791,-10,4,46
1747649320.093779030,121016,7792,-10,2,40
1747649320.093779030,121016,7793,-10,2,40
1747649320.093779030,121016,7794,-10,3,40
1747649320.093779030,121016,7795,-10,1,42
1747649320.093779030,121016,7796,-10,4,40
1747649320.093779030,121016,7797,-10,3,41
1747649320.093779030,121016,7798,-10,4,41
1747649320.093779030,121016,7799,-10,1,43
1747649320.093779030,121016,7800,-10,2,44
1747649320.093779030,121016,7801,-10,4,41
1747649320.093779030,121016,7802,-10,2,43
1747649320.093779030,121016,7803,-10,2,44
1747649320.093779030,121016,7804,-10,2,45
1747649320.093779030,121016,7805,-10,2,45
1747649320.093779030,121016,7806,-10,3,43
1747649320.093779030,121016,7807,-10,3,44
1747649320.093779030,121016,7824,-10,3,52
1747649320.093779030,121016,7825,-10,3,52
1747649320.093779030,121016,7826,-10,4,51
1747649320.093779030,121016,7827,-10,3,52
1747649320.093779030,121016,7828,-10,5,51
1747649320.093779030,121017,7829,-10,2,54
1747649320.093779030,121017,7830,-10,4,53
1747649320.093779030,121017,7831,-10,2,54
1747649320.093779030,121017,7832,-10,4,47
1747649320.093779030,121017,7833,-10,1,50
1747649320.093779030,121017,7834,-10,2,49
1747649320.093779030,121017,7835,-10,3,48
1747649320.093779030,121017,7836,-10,2,51
1747649320.093779030,121017,7837,-10,3,50
1747649320.093779030,121017,7838,-10,2,51
1747649320.093779030,121017,7839,-10,3,49
1747649320.093779030,121017,7840,-10,5,52
1747649320.093779030,121017,7841,-10,3,54
1747649320.093779030,121017,7842,-10,1,55
1747649320.093779030,121017,7843,-10,4,52
1747649320.093779030,121017,7844,-10,4,54
1747649320.093779030,121017,7845,-10,4,54
1747649320.093779030,121017,7846,-10,4,54
1747649320.093779030,121017,7847,-10,3,56
1747649320.093779030,121017,7856,-10,2,50
1747649320.093779030,121017,7857,-10,4,48
1747649320.093779030,121017,7858,-10,4,48
1747649320.093779030,121017,7859,-10,0,53
1747649320.093779030,121017,7860,-10,3,51
1747649320.093779030,121017,7861,-10,4,49
1747649320.093779030,121017,7862,-10,2,52
1747649320.093779030,121017,7863,-10,2,52
1747649320.093779030,121017,7864,-10,4,61
1747649320.093779030,121017,7865,-10,3,62
1747649320.093779030,121017,7866,-10,3,61
1747649320.093779030,121017,7867,-10,2,62
1747649320.093779030,121017,7868,-10,5,62
1747649320.093779030,121017,7869,-10,4,63
1747649320.093779030,121017,7870,-10,2,65
1747649320.093779030,121017,7871,-10,6,62
1747649320.093779030,121017,7880,-10,4,62
1747649320.093779030,121017,7881,-10,4,62
1747649320.093779030,121017,7882,-10,3,63
1747649320.093779030,121017,7883,-10,4,62
1747649320.093779030,121017,7884,-10,3,66
1747649320.093779030,121017,7885,-10,5,64
1747649320.093779030,121017,7886,-10,4,64
1747649320.093779030,121017,7887,-10,4,64
1747649320.093779030,121017,7888,-10,4,41
1747649320.093779030,121017,7889,-10,4,41
1747649320.093779030,121017,7890,-10,1,44
1747649320.093779030,121017,7891,-10,2,43
1747649320.093779030,121017,7892,-10,2,44
1747649320.093779030,121017,7893,-10,2,44
1747649320.093779030,121017,7894,-10,1,45
1747649320.093779030,121017,7895,-10,4,43
1747649320.093779030,121017,7904,-10,8,49
1747649320.093779030,121017,7905,-10,3,53
1747649320.093779030,121017,7906,-10,3,54
1747649320.093779030,121017,7907,-10,3,54
1747649320.093779030,121017,7908,-10,2,56
1747649320.093779030,121017,7909,-10,3,55
1747649320.093779030,121017,7910,-10,1,56
1747649320.093779030,121017,7911,-10,6,52
1747649320.093779030,121017,7912,-10,1,59
1747649320.093779030,121017,7913,-10,4,56
1747649320.093779030,121017,7914,-10,7,53
1747649320.093779030,121017,7915,-10,2,58
1747649320.093779030,121017,7916,-10,3,58
1747649320.093779030,121017,7917,-10,3,59
1747649320.093779030,121017,7918,-10,4,58
1747649320.093779030,121017,7919,-10,5,57
1747649320.093779030,121017,7920,-10,4,52
1747649320.093779030,121017,7921,-10,2,54
1747649320.093779030,121017,7922,-10,4,52
1747649320.093779030,121017,7923,-10,3,54
1747649320.093779030,121017,7924,-10,2,56
1747649320.093779030,121017,7925,-10,3,55
1747649320.093779030,121017,7926,-10,2,57
1747649320.093779030,121017,7927,-10,3,55
1747649320.093779030,121017,7928,-10,2,44
1747649320.093779030,121017,7929,-10,4,42
1747649320.093779030,121017,7930,-10,4,42
1747649320.093779030,121017,7931,-10,2,44
1747649320.093779030,121017,7932,-10,4,43
1747649320.093779030,121017,7933,-10,4,42
1747649320.093779030,121017,7934,-10,2,44
1747649320.093779030,121017,7935,-10,2,45
1747649320.093779030,121017,7936,-10,1,49
1747649320.093779030,121017,7937,-10,1,49
1747649320.093779030,121017,7938,-10,2,48
1747649320.093779030,121017,7939,-10,3,47
1747649320.093779030,121017,7940,-10,2,50
1747649320.093779030,121017,7941,-10,1,50
1747649320.093779030,121017,7942,-10,4,48
1747649320.093779030,121017,7943,-10,2,50
1747649320.093779030,121017,7944,-10,1,46
1747649320.093779030,121017,7945,-10,3,45
1747649320.093779030,121017,7946,-10,2,45
1747649320.093779030,121017,7947,-10,3,44
1747649320.093779030,121017,7948,-10,3,46
1747649320.093779030,121017,7949,-10,4,45
1747649320.093779030,121017,7950,-10,3,46
1747649320.093779030,121017,7951,-10,3,46
1747649320.093779030,121017,7952,-10,3,44
1747649320.093779030,121017,7953,-10,5,42
1747649320.093779030,121017,7954,-10,4,43
1747649320.093779030,121017,7955,-10,2,44
1747649320.093779030,121017,7956,-10,1,47
1747649320.093779030,121017,7957,-10,3,44
1747649320.093779030,121017,7958,-10,4,45
1747649320.093779030,121017,7959,-10,3,45
1747649320.093779030,121017,7960,-10,6,49
1747649320.093779030,121017,7961,-10,2,53
1747649320.093779030,121017,7962,-10,2,53
1747649320.093779030,121017,7963,-10,3,52
1747649320.093779030,121017,7964,-10,4,53
1747649320.093779030,121017,7965,-10,3,54
1747649320.093779030,121017,7966,-10,1,55
1747649320.093779030,121018,7967,-10,3,54
1747649320.093779030,121018,7968,-10,3,41
1747649320.093779030,121018,7969,-10,1,43
1747649320.093779030,121018,7970,-10,0,44
1747649320.093779030,121018,7971,-10,1,43
1747649320.093779030,121018,7972,-10,4,41
1747649320.093779030,121018,7973,-10,3,42
1747649320.093779030,121018,7974,-10,4,42
1747649320.093779030,121018,7975,-10,2,43
1747649320.093779030,121018,7976,-10,1,45
1747649320.093779030,121018,7977,-10,4,43
1747649320.093779030,121018,7978,-10,3,43
1747649320.093779030,121018,7979,-10,1,45
1747649320.093779030,121018,7980,-10,0,47
1747649320.093779030,121018,7981,-10,1,46
1747649320.093779030,121018,7982,-10,1,48
1747649320.093779030,121018,7983,-10,4,43
1747649320.093779030,121018,7984,-10,3,45
1747649320.093779030,121018,7985,-10,3,46
1747649320.093779030,121018,7986,-10,2,47
1747649320.093779030,121018,7987,-10,3,46
1747649320.093779030,121018,7988,-10,3,48
1747649320.093779030,121018,7989,-10,5,45
1747649320.093779030,121018,7990,-10,2,48
1747649320.093779030,121018,7991,-10,4,45
1747649320.093779030,121018,7992,-10,3,44
1747649320.093779030,121018,7993,-10,4,43
1747649320.093779030,121018,7994,-10,4,43
1747649320.093779030,121018,7995,-10,2,45
1747649320.093779030,121018,7996,-10,3,45
1747649320.093779030,121018,7997,-10,2,46
1747649320.093779030,121018,7998,-10,3,45
1747649320.093779030,121018,7999,-10,2,46
1747649320.093779030,121018,8000,-10,3,42
1747649320.093779030,121018,8001,-10,0,45
1747649320.093779030,121018,8002,-10,2,43
1747649320.093779030,121018,8003,-10,3,42
1747649320.093779030,121018,8004,-10,2,44
1747649320.093779030,121018,8005,-10,2,44
1747649320.093779030,121018,8006,-10,2,44
1747649320.093779030,121018,8007,-10,4,42
1747649320.093779030,121018,8008,-10,2,48
1747649320.093779030,121018,8009,-10,2,49
1747649320.093779030,121018,8010,-10,4,48
1747649320.093779030,121018,8011,-10,2,49
1747649320.093779030,121018,8012,-10,3,50
1747649320.093779030,121018,8013,-10,3,49
1747649320.093779030,121018,8014,-10,3,50
1747649320.093779030,121018,8015,-10,2,50
1747649320.093779030,121018,8016,-10,3,52
1747649320.093779030,121018,8017,-10,3,53
1747649320.093779030,121018,8018,-10,5,51
1747649320.093779030,121018,8019,-10,5,51
1747649320.093779030,121018,8020,-10,4,54
1747649320.093779030,121018,8021,-10,2,56
1747649320.093779030,121018,8022,-10,3,55
1747649320.093779030,121018,8023,-10,3,55
1747649320.093779030,121018,8032,-10,2,55
1747649320.093779030,121018,8033,-10,2,54
1747649320.093779030,121018,8034,-10,4,53
1747649320.093779030,121018,8035,-10,4,52
1747649320.093779030,121018,8036,-10,3,54
1747649320.093779030,121018,8037,-10,4,53
1747649320.093779030,121018,8038,-10,5,52
1747649320.093779030,121018,8039,-10,4,54
1747649320.093779030,121015,7541,19,0,4
1747649320.093779030,121015,7543,19,0,4
1747649320.093779030,121015,7545,19,0,3
1747649320.093779030,121015,7547,19,0,3
1747649320.093779030,121015,7549,19,0,4
1747649320.093779030,121015,7551,19,0,4
1747649320.093779030,121015,7553,19,0,4
1747649320.093779030,121015,7555,19,0,3
1747649320.093779030,121015,7557,19,0,2
1747649320.093779030,121015,7559,19,0,2
1747649320.093779030,121015,7561,19,0,3
1747649320.093779030,121015,7563,19,0,2
1747649320.093779030,121015,7565,19,1,2
1747649320.093779030,121015,7566,19,0,3
1747649320.093779030,121015,7568,19,0,3
1747649320.093779030,121015,7570,19,0,3
end sample
1747649320.227113497,121015,7564,-10,3,62
1747649320.227113497,121015,7567,-10,6,60
1747649320.227113497,121015,7569,-10,2,63
1747649320.227113497,121015,7571,-10,4,61
1747649320.227113497,121015,7572,-10,4,64
1747649320.227113497,121015,7573,-10,4,63
1747649320.227113497,121015,7574,-10,4,64
1747649320.227113497,121015,7575,-10,2,67
1747649320.227113497,121015,7576,-10,6,56
1747649320.227113497,121015,7577,-10,2,60
1747649320.227113497,121015,7578,-10,4,58
1747649320.227113497,121015,7579,-10,5,56
1747649320.227113497,121015,7580,-10,4,59
1747649320.227113497,121015,7581,-10,4,59
1747649320.227113497,121015,7582,-10,3,61
1747649320.227113497,121015,7583,-10,3,60
1747649320.227113497,121015,7584,-10,4,59
1747649320.227113497,121015,7585,-10,5,58
1747649320.227113497,121015,7586,-10,2,61
1747649320.227113497,121015,7587,-10,6,58
1747649320.227113497,121015,7588,-10,5,61
1747649320.227113497,121015,7589,-10,5,60
1747649320.227113497,121015,7590,-10,5,60
1747649320.227113497,121015,7591,-10,3,62
1747649320.227113497,121015,7592,-10,1,48
1747649320.227113497,121015,7593,-10,1,48
1747649320.227113497,121015,7594,-10,3,46
1747649320.227113497,121015,7595,-10,4,45
1747649320.227113497,121015,7596,-10,4,46
1747649320.227113497,121015,7597,-10,2,48
1747649320.227113497,121015,7598,-10,2,47
1747649320.227113497,121015,7599,-10,2,48
1747649320.227113497,121015,7608,-10,1,45
1747649320.227113497,121015,7609,-10,3,44
1747649320.227113497,121015,7610,-10,2,45
1747649320.227113497,121015,7611,-10,4,43
1747649320.227113497,121015,7612,-10,2,45
1747649320.227113497,121015,7613,-10,2,47
1747649320.227113497,121015,7614,-10,1,47
1747649320.227113497,121015,7615,-10,3,46
1747649320.227113497,121015,7616,-10,2,47
1747649320.227113497,121015,7617,-10,2,47
1747649320.227113497,121015,7618,-10,4,44
1747649320.227113497,121015,7619,-10,3,45
1747649320.227113497,121015,7620,-10,2,49
1747649320.227113497,121015,7621,-10,2,49
1747649320.227113497,121015,7622,-10,2,48
1747649320.227113497,121015,7623,-10,4,46
1747649320.227113497,121015,7624,-10,3,43
1747649320.227113497,121015,7625,-10,1,44
1747649320.227113497,121015,7626,-10,2,44
1747649320.227113497,121015,7627,-10,1,44
1747649320.227113497,121015,7628,-10,2,45
1747649320.227113497,121015,7629,-10,4,43
1747649320.227113497,121015,7630,-10,3,44
1747649320.227113497,121015,7631,-10,5,42
1747649320.227113497,121015,7632,-10,2,46
1747649320.227113497,121015,7633,-10,4,44
1747649320.227113497,121015,7634,-10,2,47
1747649320.227113497,121015,7635,-10,1,47
1747649320.227113497,121015,7636,-10,3,47
1747649320.227113497,121015,7637,-10,1,49
1747649320.227113497,121015,7638,-10,4,46
1747649320.227113497,121015,7639,-10,4,46
1747649320.227113497,121015,7640,-10,4,44
1747649320.227113497,121015,7641,-10,4,44
1747649320.227113497,121015,7642,-10,3,45
1747649320.227113497,121015,7643,-10,4,44
1747649320.227113497,121015,7644,-10,4,45
1747649320.227113497,121015,7645,-10,3,45
1747649320.227113497,121015,7646,-10,1,47
1747649320.227113497,121015,7647,-10,1,48
1747649320.227113497,121015,7648,-10,2,47
1747649320.227113497,121015,7649,-10,6,43
1747649320.227113497,121015,7650,-10,4,46
1747649320.227113497,121015,7651,-10,4,45
1747649320.227113497,121015,7652,-10,3,48
1747649320.227113497,121015,7653,-10,0,50
1747649320.227113497,121015,7654,-10,3,47
1747649320.227113497,121015,7655,-10,5,47
1747649320.227113497,121015,7656,-10,3,45
1747649320.227113497,121015,7657,-10,2,46
1747649320.227113497,121015,7658,-10,2,46
1747649320.227113497,121015,7659,-10,4,45
1747649320.227113497,121015,7660,-10,2,47
1747649320.227113497,121015,7661,-10,2,47
1747649320.227113497,121015,7662,-10,3,46
1747649320.227113497,121015,7663,-10,0,50
1747649320.227113497,121015,7664,-10,2,44
1747649320.227113497,121015,7665,-10,1,45
1747649320.227113497,121015,7666,-10,1,45
1747649320.227113497,121015,7667,-10,2,44
1747649320.227113497,121015,7668,-10,2,46
1747649320.227113497,121015,7669,-10,2,46
1747649320.227113497,121015,7670,-10,2,45
1747649320.227113497,121015,7671,-10,1,47
1747649320.227113497,121015,7680,-10,4,41
1747649320.227113497,121015,7681,-10,4,40
1747649320.227113497,121015,7682,-10,3,42
1747649320.227113497,121015,7683,-10,3,42
1747649320.227113497,121015,7684,-10,2,44
1747649320.227113497,121015,7685,-10,4,43
1747649320.227113497,121016,7686,-10,1,45
1747649320.227113497,121016,7687,-10,3,42
1747649320.227113497,121016,7688,-10,3,52
1747649320.227113497,121016,7689,-10,3,52
1747649320.227113497,121016,7690,-10,3,52
1747649320.227113497,121016,7691,-10,3,52
1747649320.227113497,121016,7692,-10,3,53
1747649320.227113497,121016,7693,-10,1,56
1747649320.227113497,121016,7694,-10,3,54
1747649320.227113497,121016,7695,-10,3,53
1747649320.227113497,121016,7704,-10,1,48
1747649320.227113497,121016,7705,-10,2,46
1747649320.227113497,121016,7706,-10,5,44
1747649320.227113497,121016,7707,-10,3,45
1747649320.227113497,121016,7708,-10,3,46
1747649320.227113497,121016,7709,-10,2,48
1747649320.227113497,121016,7710,-10,2,47
1747649320.227113497,121016,7711,-10,3,46
1747649320.227113497,121016,7720,-10,1,46
1747649320.227113497,121016,7721,-10,2,46
1747649320.227113497,121016,7722,-10,3,45
1747649320.227113497,121016,7723,-10,3,44
1747649320.227113497,121016,7724,-10,1,47
1747649320.227113497,121016,7725,-10,0,48
1747649320.227113497,121016,7726,-10,2,47
1747649320.227113497,121016,7727,-10,2,47
1747649320.227113497,121016,7728,-10,5,56
1747649320.227113497,121016,7729,-10,2,59
1747649320.227113497,121016,7730,-10,4,57
1747649320.227113497,121016,7731,-10,1,61
1747649320.227113497,121016,7732,-10,3,59
1747649320.227113497,121016,7733,-10,3,60
1747649320.227113497,121016,7734,-10,4,59
1747649320.227113497,121016,7735,-10,2,61
1747649320.227113497,121016,7736,-10,5,64
1747649320.227113497,121016,7737,-10,2,66
1747649320.227113497,121016,7738,-10,5,64
1747649320.227113497,121016,7739,-10,4,65
1747649320.227113497,121016,7740,-10,3,67
1747649320.227113497,121016,7741,-10,5,66
1747649320.227113497,121016,7742,-10,5,66
1747649320.227113497,121016,7743,-10,4,66
1747649320.227113497,121016,7744,-10,4,61
1747649320.227113497,121016,7745,-10,6,59
1747649320.227113497,121016,7746,-10,3,62
1747649320.227113497,121016,7747,-10,2,62
1747649320.227113497,121016,7748,-10,3,63
1747649320.227113497,121016,7749,-10,2,63
1747649320.227113497,121016,7750,-10,3,62
1747649320.227113497,121016,7751,-10,4,62
1747649320.227113497,121016,7752,-10,2,43
1747649320.227113497,121016,7753,-10,3,42
1747649320.227113497,121016,7754,-10,3,43
1747649320.227113497,121016,7755,-10,1,44
1747649320.227113497,121016,7756,-10,1,45
1747649320.227113497,121016,7757,-10,3,44
1747649320.227113497,121016,7758,-10,3,43
1747649320.227113497,121016,7759,-10,3,44
1747649320.227113497,121016,7760,-10,3,52
1747649320.227113497,121016,7761,-10,3,52
1747649320.227113497,121016,7762,-10,4,50
1747649320.227113497,121016,7763,-10,4,51
1747649320.227113497,121016,7764,-10,3,54
1747649320.227113497,121016,7765,-10,3,54
1747649320.227113497,121016,7766,-10,2,55
1747649320.227113497,121016,7767,-10,2,54
1747649320.227113497,121016,7768,-10,2,53
1747649320.227113497,121016,7769,-10,6,48
1747649320.227113497,121016,7770,-10,2,53
1747649320.227113497,121016,7771,-10,2,53
1747649320.227113497,121016,7772,-10,2,55
1747649320.227113497,121016,7773,-10,4,53
1747649320.227113497,121016,7774,-10,2,54
1747649320.227113497,121016,7775,-10,2,55
1747649320.227113497,121016,7776,-10,6,49
1747649320.227113497,121016,7777,-10,2,53
1747649320.227113497,121016,7778,-10,4,51
1747649320.227113497,121016,7779,-10,3,52
1747649320.227113497,121016,7780,-10,1,56
1747649320.227113497,121016,7781,-10,1,56
1747649320.227113497,121016,7782,-10,4,53
1747649320.227113497,121016,7783,-10,4,52
1747649320.227113497,121016,7784,-10,4,46
1747649320.227113497,121016,7785,-10,2,49
1747649320.227113497,121016,7786,-10,1,49
1747649320.227113497,121016,7787,-10,1,49
1747649320.227113497,121016,7788,-10,3,49
1747649320.227113497,121016,7789,-10,2,50
1747649320.227113497,121016,7790,-10,4,47
1747649320.227113497,121016,7791,-10,4,47
1747649320.227113497,121016,7792,-10,2,41
1747649320.227113497,121016,7793,-10,2,41
1747649320.227113497,121016,7794,-10,3,41
1747649320.227113497,121016,7795,-10,1,43
1747649320.227113497,121016,7796,-10,4,41
1747649320.227113497,121016,7797,-10,3,42
1747649320.227113497,121016,7798,-10,4,42
1747649320.227113497,121016,7799,-10,1,44
1747649320.227113497,121016,7800,-10,2,45
1747649320.227113497,121016,7801,-10,4,43
1747649320.227113497,121016,7802,-10,2,45
1747649320.227113497,121016,7803,-10,2,45
1747649320.227113497,121016,7804,-10,3,46
1747649320.227113497,121016,7805,-10,3,46
1747649320.227113497,121016,7806,-10,3,45
1747649320.227113497,121016,7807,-10,3,46
1747649320.227113497,121016,7824,-10,3,53
1747649320.227113497,121016,7825,-10,3,53
1747649320.227113497,121016,7826,-10,4,51
1747649320.227113497,121016,7827,-10,3,52
1747649320.227113497,121016,7828,-10,5,52
1747649320.227113497,121017,7829,-10,2,55
1747649320.227113497,121017,7830,-10,4,54
1747649320.227113497,121017,7831,-10,2,55
1747649320.227113497,121017,7832,-10,4,48
1747649320.227113497,121017,7833,-10,1,51
1747649320.227113497,121017,7834,-10,2,50
1747649320.227113497,121017,7835,-10,3,49
1747649320.227113497,121017,7836,-10,2,52
1747649320.227113497,121017,7837,-10,3,51
1747649320.227113497,121017,7838,-10,2,52
1747649320.227113497,121017,7839,-10,3,50
1747649320.227113497,121017,7840,-10,5,52
1747649320.227113497,121017,7841,-10,3,54
1747649320.227113497,121017,7842,-10,1,56
1747649320.227113497,121017,7843,-10,4,53
1747649320.227113497,121017,7844,-10,4,55
1747649320.227113497,121017,7845,-10,4,55
1747649320.227113497,121017,7846,-10,4,55
1747649320.227113497,121017,7847,-10,3,57
1747649320.227113497,121017,7856,-10,2,51
1747649320.227113497,121017,7857,-10,4,49
1747649320.227113497,121017,7858,-10,4,49
1747649320.227113497,121017,7859,-10,0,54
1747649320.227113497,121017,7860,-10,3,52
1747649320.227113497,121017,7861,-10,4,50
1747649320.227113497,121017,7862,-10,2,53
1747649320.227113497,121017,7863,-10,2,53
1747649320.227113497,121017,7864,-10,4,64
1747649320.227113497,121017,7865,-10,3,65
1747649320.227113497,121017,7866,-10,3,64
1747649320.227113497,121017,7867,-10,3,65
1747649320.227113497,121017,7868,-10,5,65
1747649320.227113497,121017,7869,-10,5,66
1747649320.227113497,121017,7870,-10,2,69
1747649320.227113497,121017,7871,-10,6,64
1747649320.227113497,121017,7880,-10,5,63
1747649320.227113497,121017,7881,-10,4,63
1747649320.227113497,121017,7882,-10,3,64
1747649320.227113497,121017,7883,-10,4,63
1747649320.227113497,121017,7884,-10,3,67
1747649320.227113497,121017,7885,-10,5,65
1747649320.227113497,121017,7886,-10,4,66
1747649320.227113497,121017,7887,-10,4,65
1747649320.227113497,121017,7888,-10,4,41
1747649320.227113497,121017,7889,-10,4,42
1747649320.227113497,121017,7890,-10,1,45
1747649320.227113497,121017,7891,-10,2,43
1747649320.227113497,121017,7892,-10,2,45
1747649320.227113497,121017,7893,-10,2,44
1747649320.227113497,121017,7894,-10,1,46
1747649320.227113497,121017,7895,-10,4,43
1747649320.227113497,121017,7904,-10,8,51
1747649320.227113497,121017,7905,-10,3,55
1747649320.227113497,121017,7906,-10,3,55
1747649320.227113497,121017,7907,-10,3,56
1747649320.227113497,121017,7908,-10,2,58
1747649320.227113497,121017,7909,-10,3,57
1747649320.227113497,121017,7910,-10,1,58
1747649320.227113497,121017,7911,-10,6,54
1747649320.227113497,121017,7912,-10,1,60
1747649320.227113497,121017,7913,-10,4,58
1747649320.227113497,121017,7914,-10,7,55
1747649320.227113497,121017,7915,-10,2,59
1747649320.227113497,121017,7916,-10,3,60
1747649320.227113497,121017,7917,-10,3,61
1747649320.227113497,121017,7918,-10,4,59
1747649320.227113497,121017,7919,-10,5,59
1747649320.227113497,121017,7920,-10,4,53
1747649320.227113497,121017,7921,-10,2,55
1747649320.227113497,121017,7922,-10,4,53
1747649320.227113497,121017,7923,-10,3,54
1747649320.227113497,121017,7924,-10,2,57
1747649320.227113497,121017,7925,-10,3,56
1747649320.227113497,121017,7926,-10,2,57
1747649320.227113497,121017,7927,-10,3,56
1747649320.227113497,121017,7928,-10,2,44
1747649320.227113497,121017,7929,-10,4,42
1747649320.227113497,121017,7930,-10,4,42
1747649320.227113497,121017,7931,-10,2,44
1747649320.227113497,121017,7932,-10,4,44
1747649320.227113497,121017,7933,-10,4,43
1747649320.227113497,121017,7934,-10,2,44
1747649320.227113497,121017,7935,-10,2,46
1747649320.227113497,121017,7936,-10,1,50
1747649320.227113497,121017,7937,-10,1,50
1747649320.227113497,121017,7938,-10,2,49
1747649320.227113497,121017,7939,-10,3,48
1747649320.227113497,121017,7940,-10,2,51
1747649320.227113497,121017,7941,-10,1,50
1747649320.227113497,121017,7942,-10,4,49
1747649320.227113497,121017,7943,-10,2,51
1747649320.227113497,121017,7944,-10,1,48
1747649320.227113497,121017,7945,-10,3,46
1747649320.227113497,121017,7946,-10,2,47
1747649320.227113497,121017,7947,-10,3,45
1747649320.227113497,121017,7948,-10,3,47
1747649320.227113497,121017,7949,-10,4,47
1747649320.227113497,121017,7950,-10,3,48
1747649320.227113497,121017,7951,-10,3,47
1747649320.227113497,121017,7952,-10,3,44
1747649320.227113497,121017,7953,-10,5,43
1747649320.227113497,121017,7954,-10,4,44
1747649320.227113497,121017,7955,-10,2,45
1747649320.227113497,121017,7956,-10,1,48
1747649320.227113497,121017,7957,-10,4,44
1747649320.227113497,121017,7958,-10,4,46
1747649320.227113497,121017,7959,-10,3,46
1747649320.227113497,121017,7960,-10,6,50
1747649320.227113497,121017,7961,-10,2,54
1747649320.227113497,121017,7962,-10,2,54
1747649320.227113497,121017,7963,-10,3,52
1747649320.227113497,121017,7964,-10,4,54
1747649320.227113497,121017,7965,-10,3,55
1747649320.227113497,121017,7966,-10,1,56
1747649320.227113497,121018,7967,-10,3,55
1747649320.227113497,121018,7968,-10,3,42
1747649320.227113497,121018,7969,-10,1,44
1747649320.227113497,121018,7970,-10,0,44
1747649320.227113497,121018,7971,-10,1,44
1747649320.227113497,121018,7972,-10,4,42
1747649320.227113497,121018,7973,-10,3,43
1747649320.227113497,121018,7974,-10,4,42
1747649320.227113497,121018,7975,-10,2,44
1747649320.227113497,121018,7976,-10,1,46
1747649320.227113497,121018,7977,-10,4,43
1747649320.227113497,121018,7978,-10,4,43
1747649320.227113497,121018,7979,-10,1,46
1747649320.227113497,121018,7980,-10,0,48
1747649320.227113497,121018,7981,-10,1,47
1747649320.227113497,121018,7982,-10,1,48
1747649320.227113497,121018,7983,-10,4,44
1747649320.227113497,121018,7984,-10,3,46
1747649320.227113497,121018,7985,-10,3,47
1747649320.227113497,121018,7986,-10,2,47
1747649320.227113497,121018,7987,-10,3,47
1747649320.227113497,121018,7988,-10,3,48
1747649320.227113497,121018,7989,-10,5,45
1747649320.227113497,121018,7990,-10,2,49
1747649320.227113497,121018,7991,-10,4,46
1747649320.227113497,121018,7992,-10,3,44
1747649320.227113497,121018,7993,-10,4,44
1747649320.227113497,121018,7994,-10,4,44
1747649320.227113497,121018,7995,-10,2,46
1747649320.227113497,121018,7996,-10,3,46
1747649320.227113497,121018,7997,-10,3,46
1747649320.227113497,121018,7998,-10,3,46
1747649320.227113497,121018,7999,-10,2,47
1747649320.227113497,121018,8000,-10,3,43
1747649320.227113497,121018,8001,-10,0,45
1747649320.227113497,121018,8002,-10,2,43
1747649320.227113497,121018,8003,-10,3,42
1747649320.227113497,121018,8004,-10,2,44
1747649320.227113497,121018,8005,-10,2,45
1747649320.227113497,121018,8006,-10,2,45
1747649320.227113497,121018,8007,-10,4,43
1747649320.227113497,121018,8008,-10,2,49
1747649320.227113497,121018,8009,-10,2,50
1747649320.227113497,121018,8010,-10,4,48
1747649320.227113497,121018,8011,-10,2,50
1747649320.227113497,121018,8012,-10,3,51
1747649320.227113497,121018,8013,-10,3,50
1747649320.227113497,121018,8014,-10,3,51
1747649320.227113497,121018,8015,-10,2,51
1747649320.227113497,121018,8016,-10,3,53
1747649320.227113497,121018,8017,-10,3,54
1747649320.227113497,121018,8018,-10,5,52
1747649320.227113497,121018,8019,-10,5,52
1747649320.227113497,121018,8020,-10,4,55
1747649320.227113497,121018,8021,-10,2,57
1747649320.227113497,121018,8022,-10,3,56
1747649320.227113497,121018,8023,-10,3,56
1747649320.227113497,121018,8032,-10,2,56
1747649320.227113497,121018,8033,-10,2,55
1747649320.227113497,121018,8034,-10,4,53
1747649320.227113497,121018,8035,-10,4,53
1747649320.227113497,121018,8036,-10,3,55
1747649320.227113497,121018,8037,-10,4,54
1747649320.227113497,121018,8038,-10,5,53
1747649320.227113497,121018,8039,-10,4,54
1747649320.227113497,121015,7541,19,0,4
1747649320.227113497,121015,7543,19,0,4
1747649320.227113497,121015,7545,19,0,3
1747649320.227113497,121015,7547,19,0,3
1747649320.227113497,121015,7549,19,0,4
1747649320.227113497,121015,7551,19,0,4
1747649320.227113497,121015,7553,19,0,4
1747649320.227113497,121015,7555,19,0,3
1747649320.227113497,121015,7557,19,0,2
1747649320.227113497,121015,7559,19,0,2
1747649320.227113497,121015,7561,19,0,3
1747649320.227113497,121015,7563,19,0,2
